name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
ackermann,bash, ,11,141,0.000,0,-2,%,0.000
ackermann,bigloo, ,11,232,0.558,1016,0,%,0.000
ackermann,chicken, ,11,190,1.499,1488,0,%,0.000
ackermann,ciao, ,11,229,0.000,0,-2,%,0.000
ackermann,clean, ,11,285,0.792,588,0,%,0.000
ackermann,cmucl, ,11,266,0.000,0,-2,%,0.000
ackermann,csharp, ,11,218,4.048,6400,0,%,0.000
ackermann,curry, ,11,181,0.000,0,-2,%,0.000
ackermann,cyc, ,11,182,3.592,916,0,%,0.000
ackermann,dlang, ,11,175,0.000,0,-2,%,0.000
ackermann,felix, ,11,155,0.000,0,-2,%,0.000
ackermann,fpascal,2,11,214,4.984,972,0,%,0.000
ackermann,g95, ,11,237,5.944,1168,0,%,0.000
ackermann,gawk, ,11,157,834.414,40948,0,%,0.000
ackermann,gcc,2,11,602,0.288,376,0,%,0.000
ackermann,gcc,3,11,183,0.952,376,0,%,0.000
ackermann,gcj, ,11,188,3.828,12532,0,%,0.000
ackermann,gcl, ,11,266,0.000,0,-2,%,0.000
ackermann,gforth, ,11,387,10.263,8428,0,%,0.000
ackermann,gfortran, ,11,237,0.000,0,-2,%,0.000
ackermann,gij, ,11,188,375.268,34084,0,%,0.000
ackermann,gnat, ,11,361,0.831,8784,0,%,0.000
ackermann,gpp, ,11,193,0.952,908,0,%,0.000
ackermann,gpp,2,11,210,0.216,748,0,%,0.000
ackermann,gprolog, ,11,196,0.000,0,-2,%,0.000
ackermann,groovy, ,11,138,0.000,0,-2,%,0.000
ackermann,gst, ,11,282,0.000,0,-1,%,0.000
ackermann,guile, ,11,226,0.000,0,-2,%,0.000
ackermann,gwydion, ,11,209,2.342,2376,0,%,0.000
ackermann,hugs,3,11,148,0.000,0,-2,%,0.000
ackermann,icc,2,11,602,0.000,0,-2,%,0.000
ackermann,icc,3,11,183,0.000,0,-2,%,0.000
ackermann,icon, ,11,141,0.000,0,-2,%,0.000
ackermann,icon,2,11,141,0.000,0,-2,%,0.000
ackermann,icpp, ,11,193,0.000,0,-2,%,0.000
ackermann,icpp,2,11,210,0.000,0,-2,%,0.000
ackermann,ifc, ,11,237,3.928,2144,0,%,0.000
ackermann,io, ,11,119,3439.219,53416,0,%,0.000
ackermann,iron, ,11,146,0.000,0,-2,%,0.000
ackermann,java, ,11,188,1.280,10600,0,%,0.000
ackermann,java14, ,11,188,1.204,8984,0,%,0.000
