use,test,lang,id

,except,felix,
,sieve,ghc,2


,regexmatch,cmucl,
,regexmatch,sbcl,

,prodcons,ghc,
,prodcons,gforth,
,prodcons,smlnj,
,prodcons,hipe,
,prodcons,erlang,
,prodcons,felix,
,prodcons,lua,
,prodcons,gst,
,prodcons,oz,


,ackermann,csharp,
,ary,csharp,
,strcat,csharp,
,wc,csharp,
,lists,csharp,
,echo,csharp,
,except,csharp,
,fibo,csharp,
,hash,csharp,
,hash2,csharp,
,heapsort,csharp,
,matrix,csharp,
,methcall,csharp,
,nestedloop,csharp,
,objinst,csharp,
,sieve,csharp,
,random,csharp,
,regexmatch,csharp,
,reversefile,csharp,
,moments,csharp,
,prodcons,csharp,
,spellcheck,csharp,
,hello,csharp,
,sumcol,csharp,
,wordfreq,csharp,
,plugin,csharp,
,procinst,csharp,
,ringmsg,csharp,
,lists2,csharp,
