test,lang,id,iter,secs-startup,secs,kb,lines,date
ackermann,bash, ,10,-1.004,-1,-1,13, 09/30/2004
ackermann,bash, ,6,61.916,61.92,3836,13, 09/30/2004
ackermann,bash, ,7,-1.004,-1,-1,13, 09/30/2004
ackermann,bash, ,8,-1.004,-1,-1,13, 09/30/2004
ackermann,bash, ,9,-1.004,-1,-1,13, 09/30/2004
ackermann,bigloo, ,10,0.396,0.40,7252,11, 09/30/2004
ackermann,bigloo, ,6,0.006,0.01,6212,11, 09/30/2004
ackermann,bigloo, ,7,0.006,0.01,7092,11, 09/30/2004
ackermann,bigloo, ,8,0.016,0.02,7108,11, 09/30/2004
ackermann,bigloo, ,9,0.086,0.09,7108,11, 09/30/2004
ackermann,chicken, ,10,0.403,0.41,1160,11, 09/30/2004
ackermann,chicken, ,6,0.003,0.01,0,11, 09/30/2004
ackermann,chicken, ,7,0.003,0.01,1156,11, 09/30/2004
ackermann,chicken, ,8,0.023,0.03,1036,11, 09/30/2004
ackermann,chicken, ,9,0.083,0.09,1032,11, 09/30/2004
ackermann,ciao, ,10,-2,-2,-2,12, 09/30/2004
ackermann,ciao, ,6,-2,-2,-2,12, 09/30/2004
ackermann,ciao, ,7,-2,-2,-2,12, 09/30/2004
ackermann,ciao, ,8,-2,-2,-2,12, 09/30/2004
ackermann,ciao, ,9,-2,-2,-2,12, 09/30/2004
ackermann,clean, ,10,0.277,0.28,6760,10, 09/30/2004
ackermann,clean, ,6,0.007,0.01,6356,10, 09/30/2004
ackermann,clean, ,7,0.007,0.01,6696,10, 09/30/2004
ackermann,clean, ,8,0.027,0.03,6704,10, 09/30/2004
ackermann,clean, ,9,0.077,0.08,6700,10, 09/30/2004
ackermann,cmucl, ,10,0.822,0.85,11872,12, 09/30/2004
ackermann,cmucl, ,6,0.012,0.04,7332,12, 09/30/2004
ackermann,cmucl, ,7,0.012,0.04,7572,12, 09/30/2004
ackermann,cmucl, ,8,0.042,0.07,7584,12, 09/30/2004
ackermann,cmucl, ,9,0.172,0.20,7436,12, 09/30/2004
ackermann,csharp, ,10,1.155,1.25,14372,10, 09/30/2004
ackermann,csharp, ,6,0.025,0.12,14120,10, 09/30/2004
ackermann,csharp, ,7,0.035,0.13,7484,10, 09/30/2004
ackermann,csharp, ,8,0.085,0.18,14440,10, 09/30/2004
ackermann,csharp, ,9,0.275,0.37,14768,10, 09/30/2004
ackermann,curry, ,10,74.11,74.11,15472,0, 09/30/2004
ackermann,curry, ,6,0.28,0.28,15084,0, 09/30/2004
ackermann,curry, ,7,1.1,1.10,15096,0, 09/30/2004
ackermann,curry, ,8,4.42,4.42,15140,0, 09/30/2004
ackermann,curry, ,9,18.04,18.04,15280,0, 09/30/2004
ackermann,dlang, ,10,0.53,0.53,724,8, 09/30/2004
ackermann,dlang, ,6,0,0.00,0,8, 09/30/2004
