use,test,lang,id

,ackermann,gcc,2
,ackermann,icc,2
,ackermann,perl,2
,ackermann,perl,3

,except,cmucl,2
,except,felix,0
,except,python,2

,fannkuch,python,0
,fannkuch,smlnj,0
X,fannkuch,ocaml,0
X,fannkuch,ocaml,2
X,fannkuch,ocamlb,0
X,fannkuch,ocamlb,2
X,fannkuch,psyco,0
X,fannkuch,python,3
X,fannkuch,cmucl,0
X,fannkuch,sbcl,0


,fibo,perl,2


,nbody,csharp,2

,nsieve,ocaml,0
,nsieve,ocaml,2
,nsieve,ocamlb,0

X,pidigits,bigloo,0
X,pidigits,bigloo,2
,pidigits,chicken,

,prodcons,ghc,0
,prodcons,gforth,0
,prodcons,smlnj,0
,prodcons,hipe,0
,prodcons,erlang,0
,prodcons,felix,0
,prodcons,lua,0
,prodcons,gst,0
,prodcons,oz,0

,regexmatch,cmucl,0
,regexmatch,sbcl,0

,sieve,ghc,2

,takfp,perl,0

,tcpecho,nice,0
,tcprequest,nice,0
,tcpstream,nice,0
