gnat,Ada 2005 GNAT,<strong>Ada</strong>&nbsp;2005&nbsp;GNAT,large-scale safety-critical software,0,gpp,ada,
ats,ATS,<strong>ATS</strong>,dependent types &amp; linear types plus theorem proving,0,gpp,ats,
fbasic,BASIC FreeBASIC,<strong>BASIC</strong>&nbsp;FreeBASIC,quickbasic compatible imperative programming,0,gpp,,
cint,C CINT,C&nbsp;CINT,seamless c c++ interpreter compiler,0,java,,
cyc,C Cyclone,C&nbsp;Cyclone,safe dialect of c,0,gpp,cyc,
gcc,C GNU gcc,<strong>C</strong>&nbsp;GNU gcc,unchecked low-level programming,0,gpp,c,
icc,C Intel,C&nbsp;Intel,unchecked low-level programming,0,gpp,,
tcc,C Tiny,C&nbsp;Tiny,unchecked low-level programming,0,gpp,,
clojure,Clojure,<strong>Clojure</strong>,,0,java,,
csharp,C# Mono,<strong>C#</strong>&nbsp;Mono,oo plus functional style (mono is not ms .net),1,java,csharp,
cspreview,C# Mono Preview,C#&nbsp;<strong>Mono&nbsp;Preview</strong>,oo plus functional style (mono is not ms .net),0,csharp,,
csc,C#,<strong>C#</strong>,oo plus functional style,0,java,,
gpp,C++ GNU g++,<strong>C++</strong>&nbsp;GNU g++,c plus objects plus generics,1,gcc,cpp,
icpp,C++ Intel,C++&nbsp;Intel,c plus objects plus generics,0,gpp,,
cal,CAL,<strong>CAL</strong>,lazy functional programming for jvm,0,java,cal,
clean,Clean,<strong>Clean</strong>,lazy &amp; strict pure functional programming,0,gpp,clean,
dlang,D Digital Mars,<strong>D</strong>&nbsp;Digital&nbsp;Mars,c++ reduced and simplified,0,gpp,d,
gdc,D GNU,D&nbsp;GNU,c++ reduced and simplified,0,gpp,,
gwydion,Dylan Gwydion,<strong>Dylan</strong>&nbsp;Gwydion,multi-method oo programming,0,java,dylan,
se,Eiffel SmartEiffel,<strong>Eiffel</strong>&nbsp;SmartEiffel,everything is an object plus design by contract,0,gpp,eiffel,
erlang,Erlang,Erlang,concurrent real-time distributed fault-tolerant software,0,java,,
hipe,Erlang HiPE,<strong>Erlang</strong>&nbsp;HiPE,concurrent real-time distributed fault-tolerant software,1,java,erlang,
fsharp,F# Mono,<strong>F#</strong>&nbsp;Mono,higher-order type-safe programming (mono is not ms .net),0,java,fsharp,
fsc,F#,<strong>F#</strong>,higher-order type-safe programming,0,java,,
bigforth,Forth bigForth,Forth&nbsp;bigForth,extensible postfix stack programming,0,java,,
gforth,Forth GNU GForth,Forth&nbsp;GNU GForth,extensible postfix stack programming,0,java,forth,
g95,Fortran G95,Fortran&nbsp;G95,pioneering numeric and scientific programming,0,gpp,,
ifc,Fortran Intel,<strong>Fortran</strong>&nbsp;Intel,pioneering numeric and scientific programming,0,gpp,fortran,
go,Go,<strong>Go</strong>,types just are - Go is an experiment,0,gcc,,
gccgo,Go gccgo,Go gccgo,types just are - Go is an experiment,0,gcc,,
groovy,Groovy,<strong>Groovy</strong>,&ldquo;agile&rdquo; &ldquo;dynamic&rdquo; &ldquo;java compatible&rdquo; for jvm,0,java,groovy,
ghc,Haskell GHC,<strong>Haskell</strong>&nbsp;GHC,lazy pure functional programming,1,java,haskell,
icon,Icon,<strong>Icon</strong>,high-level string processing,0,java,,
io,Io,<strong>Io</strong>,everything is a prototype object minimalism,0,java,io,
java14,Java 1.4 -server,Java&nbsp;1.4 -server,ubiquitous jit server virtual machine,0,java,,
javaclient,Java 6 -client,Java&nbsp;6 -client,ubiquitous jit client virtual machine,0,java,,
java,Java 6 -server,<strong>Java</strong>&nbsp;6&nbsp;-server,ubiquitous jit server virtual machine,1,gpp,java,
javaxint,Java 6 -Xint,Java&nbsp;6 -Xint,ubiquitous bytecode interpreter virtual machine,0,java,,
javaxx,Java 6 -Xms64m,Java&nbsp;6 -Xms64m,initial java server heap size 64m,0,java,,
javasteady,Java 6 steady state,Java&nbsp;6&nbsp;steady&nbsp;state,approximate jvm steady state,0,java,,
gcj,Java GNU gcj,Java&nbsp;GNU gcj,optimizing ahead-of-time compiler,0,java,,
