name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,bigforth,1,12,585,0.944,3156,0,%,0.000
binarytrees,bigforth,1,14,585,3.912,2820,0,%,0.000
binarytrees,bigforth,1,16,585,17.461,8964,0,%,0.000
binarytrees,bigloo,1,12,522,0.276,5324,0,%,0.000
binarytrees,bigloo,1,14,522,1.560,5324,0,%,0.000
binarytrees,bigloo,1,16,522,10.077,14660,0,%,0.000
binarytrees,chicken,1,12,493,0.864,3548,0,%,0.000
binarytrees,chicken,1,14,493,4.052,9404,0,%,0.000
binarytrees,chicken,1,16,493,19.425,32844,0,%,0.000
binarytrees,clean,1,12,626,0.132,4620,0,%,0.000
binarytrees,clean,1,14,626,0.596,15868,0,%,0.000
binarytrees,clean,1,16,626,4.244,16876,0,%,0.000
binarytrees,clean,3,12,627,0.132,10596,0,%,0.000
binarytrees,clean,3,14,627,0.596,15872,0,%,0.000
binarytrees,clean,3,16,627,4.120,16876,0,%,0.000
binarytrees,cmucl,2,12,551,0.164,5180,0,%,0.000
binarytrees,cmucl,2,14,551,0.720,19992,0,%,0.000
binarytrees,cmucl,2,16,551,3.300,24796,0,%,0.000
binarytrees,csharp,1,12,610,0.648,5412,0,%,0.000
binarytrees,csharp,1,14,610,2.860,8656,0,%,0.000
binarytrees,csharp,1,16,610,12.249,20496,0,%,0.000
binarytrees,cyc,1,12,707,0.000,0,-2,%,0.000
binarytrees,cyc,1,14,707,0.000,0,-2,%,0.000
binarytrees,cyc,1,16,707,0.000,0,-2,%,0.000
binarytrees,dlang,1,12,511,0.908,3064,0,%,0.000
binarytrees,dlang,1,14,511,4.412,4828,0,%,0.000
binarytrees,dlang,1,16,511,21.985,17600,0,%,0.000
binarytrees,dlang,2,12,705,0.212,3092,0,%,0.000
binarytrees,dlang,2,14,705,1.000,3092,0,%,0.000
binarytrees,dlang,2,16,705,4.928,4732,0,%,0.000
binarytrees,erlang,1,12,441,0.924,5012,0,%,0.000
binarytrees,erlang,1,14,441,3.472,6604,0,%,0.000
binarytrees,erlang,1,16,441,15.225,16620,0,%,0.000
binarytrees,fpascal,1,12,769,0.144,3092,0,%,0.000
binarytrees,fpascal,1,14,769,0.760,1100,0,%,0.000
binarytrees,fpascal,1,16,769,3.908,4172,0,%,0.000
binarytrees,fpascal,2,12,629,0.164,3100,0,%,0.000
binarytrees,fpascal,2,14,629,0.844,1104,0,%,0.000
binarytrees,fpascal,2,16,629,4.336,4176,0,%,0.000
binarytrees,fsharp,1,12,8,0.000,0,-2,%,0.000
binarytrees,fsharp,1,14,8,0.000,0,-2,%,0.000
binarytrees,fsharp,1,16,8,0.000,0,-2,%,0.000
binarytrees,g95,1,12,826,1.868,3100,0,%,0.000
binarytrees,g95,1,14,826,7.912,3104,0,%,0.000
binarytrees,g95,1,16,826,48.899,10736,0,%,0.000
binarytrees,gcc,1,12,706,0.184,680,0,%,0.000
binarytrees,gcc,1,14,706,0.852,1448,0,%,0.000
binarytrees,gcc,1,16,706,4.232,4520,0,%,0.000
binarytrees,gcc,2,12,743,0.056,664,0,%,0.000
binarytrees,gcc,2,14,743,0.260,1432,0,%,0.000
binarytrees,gcc,2,16,743,1.500,4504,0,%,0.000
binarytrees,gcj,2,12,603,0.572,24956,0,%,0.000
binarytrees,gcj,2,14,603,1.828,26576,0,%,0.000
binarytrees,gcj,2,16,603,7.564,35564,0,%,0.000
binarytrees,gcl,2,12,551,0.000,0,-2,%,0.000
binarytrees,gcl,2,14,551,0.000,0,-2,%,0.000
binarytrees,gcl,2,16,551,0.000,0,-2,%,0.000
binarytrees,gdc,1,12,511,0.196,3092,0,%,0.000
binarytrees,gdc,1,14,511,0.936,3092,0,%,0.000
binarytrees,gdc,1,16,511,4.664,4800,0,%,0.000
binarytrees,gdc,2,12,705,0.200,3096,0,%,0.000
binarytrees,gdc,2,14,705,0.940,3096,0,%,0.000
binarytrees,gdc,2,16,705,4.664,4800,0,%,0.000
binarytrees,gforth,1,12,562,0.596,1476,0,%,0.000
binarytrees,gforth,1,14,562,2.788,1812,0,%,0.000
binarytrees,gforth,1,16,562,13.261,4884,0,%,0.000
binarytrees,gfortran,1,12,826,0.256,2904,0,%,0.000
binarytrees,gfortran,1,14,826,1.188,2912,0,%,0.000
binarytrees,gfortran,1,16,826,5.720,4680,0,%,0.000
binarytrees,ghc,4,12,510,0.156,1816,0,%,0.000
binarytrees,ghc,4,14,510,0.676,2992,0,%,0.000
binarytrees,ghc,4,16,510,3.952,6112,0,%,0.000
binarytrees,gij,2,12,603,0.000,0,-2,%,0.000
binarytrees,gij,2,14,603,0.000,0,-2,%,0.000
binarytrees,gij,2,16,603,0.000,0,-2,%,0.000
binarytrees,gnat,1,12,955,0.252,1588,0,%,0.000
binarytrees,gnat,1,14,955,1.128,2740,0,%,0.000
