name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,javaxint,1,12,1110,0.811,77652,0,32%,0.611
binarytrees,javaxint,1,16,1110,14.648,94776,0,51%,7.467
binarytrees,javaxint,1,20,1110,291.098,538068,0,50%,145.150
binarytrees,java,1,12,1110,0.265,91996,0,6%,0.758
binarytrees,java,1,16,1110,0.827,336232,0,39%,0.505
binarytrees,java,1,20,1110,22.480,561732,0,56%,10.096
binarytrees,csharp,2,12,746,0.265,7568,0,19%,0.318
binarytrees,csharp,2,16,746,4.056,21744,0,24%,4.072
binarytrees,csharp,2,20,746,91.682,213476,0,24%,91.734
binarytrees,csc,2,12,746,0.094,10012,0,6%,0.128
binarytrees,csc,2,16,746,1.030,24896,0,24%,1.042
binarytrees,csc,2,20,746,39.796,345988,0,24%,39.777
binarytrees,fsc,2,12,681,0.109,12788,0,14%,0.145
binarytrees,fsc,2,16,681,1.248,23180,0,23%,1.268
binarytrees,fsc,2,20,681,43.431,213684,0,24%,43.123
binarytrees,javaxint,2,12,700,0.359,77652,0,22%,0.363
binarytrees,javaxint,2,16,700,5.710,281340,0,24%,5.625
binarytrees,javaxint,2,20,700,114.942,470480,0,25%,112.181
binarytrees,java,2,12,700,0.140,91568,0,15%,0.138
binarytrees,java,2,16,700,0.749,344556,0,24%,0.725
binarytrees,java,2,20,700,15.475,505704,0,32%,11.845
binarytrees,python,2,12,480,0.842,3908,0,12%,1.704
binarytrees,python,2,16,480,19.812,17164,0,24%,19.819
binarytrees,python,2,20,480,499.468,230368,0,24%,499.679
binarytrees,fsc,3,12,753,0.078,12492,0,14%,0.104
binarytrees,fsc,3,16,753,1.030,26064,0,26%,1.045
binarytrees,fsc,3,20,753,39.671,194616,0,24%,39.675
binarytrees,python,6,12,743,1.388,22968,0,12%,2.106
binarytrees,python,6,16,743,21.871,58292,0,92%,5.993
binarytrees,python,6,20,743,505.896,600848,0,93%,135.500
binarytrees,python,7,12,686,1.310,22228,0,71%,0.427
binarytrees,python,7,16,686,19.500,46604,0,92%,5.365
binarytrees,python,7,20,686,443.417,433036,0,93%,119.110
chameneosredux,csharp,1,60000,1714,1.030,7280,0,48%,0.399
chameneosredux,csharp,1,600000,1714,9.329,7380,0,71%,2.778
chameneosredux,csharp,1,6000000,1714,85.021,7884,0,70%,24.953
chameneosredux,csc,1,60000,1714,0.390,20064,0,34%,0.242
chameneosredux,csc,1,600000,1714,3.260,19992,0,82%,0.962
chameneosredux,csc,1,6000000,1714,31.887,20052,0,83%,9.163
chameneosredux,javaxint,1,60000,1966,5.772,77724,0,37%,3.402
chameneosredux,javaxint,1,600000,1966,58.890,77760,0,38%,32.741
chameneosredux,javaxint,1,6000000,1966,616.532,77644,0,38%,345.116
chameneosredux,java,1,60000,1966,0.702,80520,0,31%,0.517
chameneosredux,java,1,600000,1966,2.309,81004,0,35%,1.245
chameneosredux,java,1,6000000,1966,19.017,81072,0,32%,10.458
chameneosredux,javaxint,2,60000,1733,1.030,77724,0,48%,0.458
chameneosredux,javaxint,2,600000,1733,8.892,77732,0,62%,3.406
chameneosredux,javaxint,2,6000000,1733,89.342,77644,0,65%,32.659
chameneosredux,java,2,60000,1733,0.530,78784,0,47%,0.242
chameneosredux,java,2,600000,1733,4.103,78720,0,64%,1.478
chameneosredux,java,2,6000000,1733,37.315,78452,0,67%,12.965
chameneosredux,python,2,60000,1185,2.855,3500,0,13%,2.620
chameneosredux,python,2,600000,1185,28.579,3504,0,14%,25.060
chameneosredux,python,2,6000000,1185,287.603,3500,0,13%,256.111
chameneosredux,javaxint,3,60000,1715,0.546,77772,0,55%,0.227
chameneosredux,javaxint,3,600000,1715,4.696,77652,0,81%,1.441
chameneosredux,javaxint,3,6000000,1715,46.005,77660,0,85%,13.413
chameneosredux,java,3,60000,1715,0.343,78448,0,52%,0.163
chameneosredux,java,3,600000,1715,2.059,78616,0,76%,0.660
chameneosredux,java,3,6000000,1715,18.923,79108,0,86%,5.487
chameneosredux,javaxint,4,60000,1765,0.686,77756,0,65%,0.271
chameneosredux,javaxint,4,600000,1765,5.335,77756,0,75%,1.783
chameneosredux,javaxint,4,6000000,1765,51.605,77980,0,80%,15.935
chameneosredux,java,4,60000,1765,0.468,78684,0,54%,0.200
chameneosredux,java,4,600000,1765,2.855,78932,0,75%,0.949
