test,lang,id,iter,secs-startup,secs,kb,lines,date
binarytrees,bigforth, ,16,427,66.232,8908,41, 09/30/2004
binarytrees,bigforth,2,16,452,-2,-2,43, 09/30/2004
binarytrees,chicken, ,16,503,19.413,32772,27, 09/30/2004
binarytrees,cint, ,16,690,-2,-2,80, 09/30/2004
binarytrees,clean, ,16,522,1.100,8760,39, 09/30/2004
binarytrees,clean,3,16,523,4.064,16880,39, 09/30/2004
binarytrees,cmucl,2,16,535,-2,-2,38, 09/30/2004
binarytrees,csharp, ,16,594,7.900,19904,42, 09/30/2004
binarytrees,csharpaot, ,16,594,8.161,19316,42, 09/30/2004
binarytrees,dlang,2,16,689,4.312,4668,55, 09/30/2004
binarytrees,erlang, ,16,425,12.709,19016,28, 09/30/2004
binarytrees,fbasic,2,16,707,4.908,4852,0, 09/30/2004
binarytrees,fpascal,2,16,613,6.564,8356,70, 09/30/2004
binarytrees,g95, ,16,810,42.959,10708,73, 09/30/2004
binarytrees,gcc, ,16,690,3.760,4528,80, 09/30/2004
binarytrees,gcc,2,16,727,1.604,4508,84, 09/30/2004
binarytrees,gcj,2,16,587,7.088,24896,39, 09/30/2004
binarytrees,gforth, ,16,421,15.749,4876,41, 09/30/2004
binarytrees,ghc,2,16,406,3.204,2932,19, 09/30/2004
binarytrees,gnat, ,16,939,4.980,6596,99, 09/30/2004
binarytrees,gpp, ,16,762,0.616,1648,52, 09/30/2004
binarytrees,gpp,2,16,525,4.484,6984,38, 09/30/2004
binarytrees,groovy, ,16,503,-2,-2,38, 09/30/2004
binarytrees,gst, ,16,655,-2,-2,51, 09/30/2004
binarytrees,hipe, ,16,425,12.649,15388,28, 09/30/2004
binarytrees,icon, ,16,510,83.609,15860,45, 09/30/2004
binarytrees,ifc, ,16,810,-2,-2,73, 09/30/2004
binarytrees,iron,3,16,402,73.669,60600,28, 09/30/2004
binarytrees,java,2,16,587,6.736,23096,39, 09/30/2004
binarytrees,java14,2,16,587,5.916,20652,39, 09/30/2004
binarytrees,java5,2,16,587,6.784,23700,39, 09/30/2004
