binarytrees,g95,1,12,826,1.536,1140,0,%,0
binarytrees,g95,1,14,826,6.52,3060,0,%,0
binarytrees,g95,1,16,826,39.69,10736,0,%,0
fannkuch,g95,1,9,521,0.16,512,0,%,0
fannkuch,g95,1,10,521,1.816,512,0,%,0
fannkuch,g95,1,11,521,22.765,512,0,%,0
fasta,g95,1,250000,1155,1.036,528,0,%,0
fasta,g95,1,2500000,1155,10.217,528,0,%,0
fasta,g95,1,25000000,1155,101.902,528,0,%,0
hello,g95,1,1,83,0.012,0,0,%,0
hello,g95,1,200,83,0.56,1620,0,%,0
knucleotide,g95,1,10000,2238,0.58,7688,0,%,0
knucleotide,g95,1,100000,2238,4.548,47124,0,%,0
knucleotide,g95,1,1000000,2238,39.574,54656,0,%,0
mandelbrot,g95,1,120,485,0.02,516,0,%,0
mandelbrot,g95,1,600,485,0,0,-2,%,0
mandelbrot,g95,1,3000,485,0,0,-2,%,0
mandelbrot,g95,2,120,800,0,0,-2,%,0
mandelbrot,g95,2,600,800,0,0,-2,%,0
mandelbrot,g95,2,3000,800,0,0,-2,%,0
nbody,g95,1,200000,1389,0.212,540,0,%,0
nbody,g95,1,2000000,1389,2.052,540,0,%,0
nbody,g95,1,20000000,1389,20.397,540,0,%,0
nbody,g95,2,200000,1244,1.692,544,0,%,0
nbody,g95,2,2000000,1244,16.453,544,0,%,0
nbody,g95,2,20000000,1244,161.994,544,0,%,0
nsieve,g95,2,7,335,0.44,1772,0,%,0
nsieve,g95,2,8,335,0.988,3024,0,%,0
nsieve,g95,2,9,335,2.1,5524,0,%,0
nsievebits,g95,1,9,406,1.32,1152,0,%,0
nsievebits,g95,1,10,406,3.352,1776,0,%,0
nsievebits,g95,1,11,406,7.62,3028,0,%,0
partialsums,g95,1,25000,471,0.04,576,0,%,0
partialsums,g95,1,250000,471,0.248,572,0,%,0
partialsums,g95,1,2500000,471,2.176,572,0,%,0
partialsums,g95,2,25000,525,0.052,540,0,%,0
partialsums,g95,2,250000,525,0.412,540,0,%,0
partialsums,g95,2,2500000,525,4.088,540,0,%,0
pidigits,g95,1,500,1768,0.788,756,0,%,0
pidigits,g95,1,1500,1768,0,0,-2,%,0
pidigits,g95,1,2500,1768,0,0,-2,%,0
recursive,g95,1,3,620,0.088,544,0,%,0
recursive,g95,1,7,620,0.276,584,0,%,0
recursive,g95,1,11,620,10.977,1244,0,%,0
regexdna,g95,1,100000,2425,0,0,-2,%,0
regexdna,g95,1,300000,2425,0,0,-2,%,0
regexdna,g95,1,500000,2425,0,0,-2,%,0
revcomp,g95,2,25000,772,0.08,716,0,%,0
revcomp,g95,2,250000,772,0.692,1960,0,%,0
revcomp,g95,2,2500000,772,6.912,12944,0,%,0
spectralnorm,g95,2,500,513,0.292,520,0,%,0
spectralnorm,g95,2,3000,513,9.993,616,0,%,0
spectralnorm,g95,2,5500,513,33.642,708,0,%,0
sumcol,g95,1,1000,131,2.26,508,0,%,0
sumcol,g95,1,11000,131,24.382,508,0,%,0
sumcol,g95,1,21000,131,46.715,508,0,%,0
