"name","lang","id","n","size(B)","cpu(s)","mem(KB)","status","load","elapsed(s)"
"binarytrees","bigforth",1,12,433,2.952,2812,0,"%",0
"binarytrees","bigforth",1,14,433,14.113,2772,0,"%",0
"binarytrees","bigforth",1,16,433,65.98,8916,0,"%",0
"binarytrees","cal",1,12,736,0.668,14784,0,"%",0
"binarytrees","cal",1,14,736,1.54,18708,0,"%",0
"binarytrees","cal",1,16,736,7.576,27308,0,"%",0
"binarytrees","chicken",1,12,493,0.872,3472,0,"%",0
"binarytrees","chicken",1,14,493,4.044,9328,0,"%",0
"binarytrees","chicken",1,16,493,19.297,32768,0,"%",0
"binarytrees","cint",1,12,698,24.75,5628,0,"%",0
"binarytrees","cint",1,14,698,115.563,6660,0,"%",0
"binarytrees","cint",1,16,698,497.699,10132,0,"%",0
"binarytrees","clean",1,12,538,0.088,3704,0,"%",0
"binarytrees","clean",1,14,538,0.264,8748,0,"%",0
"binarytrees","clean",1,16,538,1.084,8748,0,"%",0
"binarytrees","clean",3,12,539,0.132,3136,0,"%",0
"binarytrees","clean",3,14,539,0.568,15864,0,"%",0
"binarytrees","clean",3,16,539,3.984,16868,0,"%",0
"binarytrees","cmucl",2,12,551,0,0,-2,"%",0
"binarytrees","cmucl",2,14,551,0,0,-2,"%",0
"binarytrees","cmucl",2,16,551,0,0,-2,"%",0
"binarytrees","csharp",1,12,610,0.524,5268,0,"%",0
"binarytrees","csharp",1,14,610,1.968,7152,0,"%",0
"binarytrees","csharp",1,16,610,8.249,14584,0,"%",0
"binarytrees","csharpaot",1,12,610,0.448,5088,0,"%",0
"binarytrees","csharpaot",1,14,610,1.828,6688,0,"%",0
"binarytrees","csharpaot",1,16,610,8.753,14132,0,"%",0
"binarytrees","dlang",1,12,511,1.192,1628,0,"%",0
"binarytrees","dlang",1,14,511,5.508,4820,0,"%",0
"binarytrees","dlang",1,16,511,26.262,17596,0,"%",0
"binarytrees","dlang",2,12,705,0.228,884,0,"%",0
"binarytrees","dlang",2,14,705,0.948,1652,0,"%",0
"binarytrees","dlang",2,16,705,4.344,4724,0,"%",0
"binarytrees","erlang",1,12,441,0.596,5108,0,"%",0
"binarytrees","erlang",1,14,441,2.132,7604,0,"%",0
"binarytrees","erlang",1,16,441,9.693,17984,0,"%",0
"binarytrees","fbasic",2,12,723,0.216,1012,0,"%",0
"binarytrees","fbasic",2,14,723,1.016,1780,0,"%",0
"binarytrees","fbasic",2,16,723,4.896,4852,0,"%",0
"binarytrees","fpascal",1,12,769,0.164,260,0,"%",0
"binarytrees","fpascal",1,14,769,0.8,1152,0,"%",0
"binarytrees","fpascal",1,16,769,3.92,4224,0,"%",0
"binarytrees","fpascal",2,12,629,0.196,268,0,"%",0
"binarytrees","fpascal",2,14,629,0.968,1160,0,"%",0
"binarytrees","fpascal",2,16,629,4.732,4236,0,"%",0
"binarytrees","fsharp",1,12,587,0.884,8268,0,"%",0
"binarytrees","fsharp",1,14,587,2.676,11588,0,"%",0
"binarytrees","fsharp",1,16,587,11.593,22656,0,"%",0
"binarytrees","g95",1,12,826,1.536,1140,0,"%",0
"binarytrees","g95",1,14,826,6.52,3060,0,"%",0
"binarytrees","g95",1,16,826,39.69,10736,0,"%",0
"binarytrees","gcc",1,12,706,0.16,696,0,"%",0
"binarytrees","gcc",1,14,706,0.768,1464,0,"%",0
"binarytrees","gcc",1,16,706,3.788,4536,0,"%",0
"binarytrees","gcc",2,12,743,0.056,672,0,"%",0
"binarytrees","gcc",2,14,743,0.288,1440,0,"%",0
"binarytrees","gcc",2,16,743,1.596,4512,0,"%",0
"binarytrees","gcc",3,12,758,0.04,564,0,"%",0
"binarytrees","gcc",3,14,758,0.156,828,0,"%",0
"binarytrees","gcc",3,16,758,0.848,3900,0,"%",0
"binarytrees","gcj",2,12,603,0.456,17836,0,"%",0
"binarytrees","gcj",2,14,603,1.544,20012,0,"%",0
"binarytrees","gcj",2,16,603,6.952,24032,0,"%",0
"binarytrees","gforth",1,12,564,0.748,1048,0,"%",0
"binarytrees","gforth",1,14,564,3.332,1816,0,"%",0
"binarytrees","gforth",1,16,564,15.657,4888,0,"%",0
"binarytrees","ghc",1,12,512,0.108,1788,0,"%",0
"binarytrees","ghc",1,14,512,0.496,3312,0,"%",0
"binarytrees","ghc",1,16,512,3.348,9152,0,"%",0
"binarytrees","ghc",4,12,510,0.1,1532,0,"%",0
"binarytrees","ghc",4,14,510,0.48,3072,0,"%",0
"binarytrees","ghc",4,16,510,3.072,6192,0,"%",0
"binarytrees","gnat",1,12,955,0.24,848,0,"%",0
"binarytrees","gnat",1,14,955,1.096,2000,0,"%",0
"binarytrees","gnat",1,16,955,5.136,6608,0,"%",0
"binarytrees","gpp",1,12,778,0.032,960,0,"%",0
"binarytrees","gpp",1,14,778,0.128,1024,0,"%",0
"binarytrees","gpp",1,16,778,0.6,1860,0,"%",0
"binarytrees","gpp",2,12,541,0.204,1108,0,"%",0
"binarytrees","gpp",2,14,541,0.956,2388,0,"%",0
"binarytrees","gpp",2,16,541,4.472,6996,0,"%",0
"binarytrees","gpp",3,12,814,0.052,932,0,"%",0
"binarytrees","gpp",3,14,814,0.08,1316,0,"%",0
"binarytrees","gpp",3,16,814,0.264,2192,0,"%",0
"binarytrees","groovy",1,12,519,8.437,38184,0,"%",0
"binarytrees","groovy",1,14,519,18.641,40756,0,"%",0
"binarytrees","groovy",1,16,519,55.323,53632,0,"%",0
"binarytrees","groovy",2,12,506,7.96,37724,0,"%",0
"binarytrees","groovy",2,14,506,16.637,41032,0,"%",0
"binarytrees","groovy",2,16,506,47.359,51108,0,"%",0
"binarytrees","gst",1,12,729,2.74,9564,0,"%",0
"binarytrees","gst",1,14,729,21.005,65364,0,"%",0
"binarytrees","gst",1,16,729,0,0,-2,"%",0
"binarytrees","hipe",1,12,441,0.344,5164,0,"%",0
"binarytrees","hipe",1,14,441,0.88,7872,0,"%",0
"binarytrees","hipe",1,16,441,3.58,18096,0,"%",0
"binarytrees","icc",1,12,706,0.18,736,0,"%",0
"binarytrees","icc",1,14,706,0.852,1504,0,"%",0
"binarytrees","icc",1,16,706,4.06,4576,0,"%",0
"binarytrees","icc",2,12,743,0.064,716,0,"%",0
"binarytrees","icc",2,14,743,0.3,1484,0,"%",0
"binarytrees","icc",2,16,743,1.576,4556,0,"%",0
"binarytrees","icc",3,12,758,0.044,580,0,"%",0
"binarytrees","icc",3,14,758,0.2,868,0,"%",0
"binarytrees","icc",3,16,758,1.048,3940,0,"%",0
"binarytrees","icon",1,12,526,2.736,2836,0,"%",0
"binarytrees","icon",1,14,526,17.377,4136,0,"%",0
"binarytrees","icon",1,16,526,82.165,15860,0,"%",0
"binarytrees","icpp",1,12,778,0.052,460,0,"%",0
"binarytrees","icpp",1,14,778,0.204,520,0,"%",0
"binarytrees","icpp",1,16,778,0.98,2072,0,"%",0
"binarytrees","icpp",2,12,541,0.208,636,0,"%",0
"binarytrees","icpp",2,14,541,1.012,1916,0,"%",0
"binarytrees","icpp",2,16,541,4.872,6524,0,"%",0
"binarytrees","icpp",3,12,814,0,0,-2,"%",0
"binarytrees","icpp",3,14,814,0,0,-2,"%",0
"binarytrees","icpp",3,16,814,0,0,-2,"%",0
"binarytrees","ifc",1,12,826,0.228,668,0,"%",0
"binarytrees","ifc",1,14,826,1.08,1436,0,"%",0
"binarytrees","ifc",1,16,826,5.028,4508,0,"%",0
"binarytrees","ikarus",1,12,592,0.352,20820,0,"%",0
"binarytrees","ikarus",1,14,592,0.84,21856,0,"%",0
"binarytrees","ikarus",1,16,592,3.244,29612,0,"%",0
"binarytrees","io",1,12,400,194.892,9572,0,"%",0
"binarytrees","io",1,14,400,1040.853,29664,0,"%",0
"binarytrees","io",1,16,400,5445.612,109996,0,"%",0
"binarytrees","iron",1,12,377,0,0,-2,"%",0
"binarytrees","iron",1,14,377,0,0,-2,"%",0
"binarytrees","iron",1,16,377,0,0,-2,"%",0
"binarytrees","iron",3,12,418,5.268,19944,0,"%",0
"binarytrees","iron",3,14,418,17.057,32116,0,"%",0
"binarytrees","iron",3,16,418,71.408,84772,0,"%",0
"binarytrees","java",2,12,603,0.312,10228,0,"%",0
"binarytrees","java",2,14,603,1.044,19368,0,"%",0
"binarytrees","java",2,16,603,6.892,26808,0,"%",0
"binarytrees","java14",2,12,603,0.484,11320,0,"%",0
"binarytrees","java14",2,14,603,1.828,13368,0,"%",0
"binarytrees","java14",2,16,603,5.932,20708,0,"%",0
"binarytrees","javaclient",2,12,603,0.284,8836,0,"%",0
"binarytrees","javaclient",2,14,603,1.124,18004,0,"%",0
"binarytrees","javaclient",2,16,603,7.364,26136,0,"%",0
"binarytrees","javascript",1,12,467,6.788,100784,0,"%",0
"binarytrees","javascript",1,14,467,32.058,136840,0,"%",0
"binarytrees","javascript",1,16,467,150.069,136832,0,"%",0
"binarytrees","javaxint",2,12,603,0.864,8476,0,"%",0
"binarytrees","javaxint",2,14,603,3.972,17176,0,"%",0
"binarytrees","javaxint",2,16,603,21.461,24364,0,"%",0
"binarytrees","javaxx",2,12,603,0.316,15216,0,"%",0
"binarytrees","javaxx",2,14,603,0.708,16976,0,"%",0
"binarytrees","javaxx",2,16,603,2.892,39436,0,"%",0
"binarytrees","jruby",2,12,409,13.605,48472,0,"%",0
"binarytrees","jruby",2,14,409,37.166,65580,0,"%",0
"binarytrees","jruby",2,16,409,140.869,136048,0,"%",0
"binarytrees","lisaac",2,12,691,0.104,3288,0,"%",0
"binarytrees","lisaac",2,14,691,0.464,69000,0,"%",0
"binarytrees","lisaac",2,16,691,2.228,345352,0,"%",0
"binarytrees","lua",3,12,470,2.436,3060,0,"%",0
"binarytrees","lua",3,14,470,11.953,9048,0,"%",0
"binarytrees","lua",3,16,470,55.687,34464,0,"%",0
"binarytrees","luajit",3,12,470,1.596,3180,0,"%",0
"binarytrees","luajit",3,14,470,7.676,10640,0,"%",0
"binarytrees","luajit",3,16,470,37.454,40852,0,"%",0
"binarytrees","mercury",1,12,910,0.244,5444,0,"%",0
"binarytrees","mercury",1,14,910,1.08,11588,0,"%",0
"binarytrees","mercury",1,16,910,5.588,28944,0,"%",0
"binarytrees","mlton",2,12,530,0.136,2904,0,"%",0
"binarytrees","mlton",2,14,530,0.7,9132,0,"%",0
"binarytrees","mlton",2,16,530,3.204,45760,0,"%",0
"binarytrees","mzscheme",1,12,482,0.608,6972,0,"%",0
"binarytrees","mzscheme",1,14,482,2.144,12664,0,"%",0
"binarytrees","mzscheme",1,16,482,9.601,18268,0,"%",0
"binarytrees","mzscheme",2,12,503,0.68,8088,0,"%",0
"binarytrees","mzscheme",2,14,503,2.244,15708,0,"%",0
"binarytrees","mzscheme",2,16,503,10.161,29992,0,"%",0
"binarytrees","nice",1,12,485,0.648,14172,0,"%",0
"binarytrees","nice",1,14,485,1.48,17924,0,"%",0
"binarytrees","nice",1,16,485,7.452,23984,0,"%",0
"binarytrees","ocaml",1,12,469,0.116,1192,0,"%",0
"binarytrees","ocaml",1,14,469,0.712,2416,0,"%",0
"binarytrees","ocaml",1,16,469,4.828,8732,0,"%",0
"binarytrees","ocaml",3,12,502,0.104,4732,0,"%",0
"binarytrees","ocaml",3,14,502,0.3,5408,0,"%",0
"binarytrees","ocaml",3,16,502,1.444,8844,0,"%",0
"binarytrees","ocaml",4,12,504,0.128,4832,0,"%",0
"binarytrees","ocaml",4,14,504,0.412,5308,0,"%",0
"binarytrees","ocaml",4,16,504,1.976,11772,0,"%",0
"binarytrees","ooc",1,12,755,0.576,2468,0,"%",0
"binarytrees","ooc",1,14,755,2.708,5304,0,"%",0
"binarytrees","ooc",1,16,755,11.973,17244,0,"%",0
"binarytrees","oz",1,12,479,1.16,4604,0,"%",0
"binarytrees","oz",1,14,479,5.04,9172,0,"%",0
"binarytrees","oz",1,16,479,23.097,27252,0,"%",0
"binarytrees","perl",1,12,481,9.277,3780,0,"%",0
"binarytrees","perl",1,14,481,50.135,10548,0,"%",0
"binarytrees","perl",1,16,481,254.18,37604,0,"%",0
"binarytrees","perl",2,12,541,7.596,4440,0,"%",0
"binarytrees","perl",2,14,541,41.763,13128,0,"%",0
"binarytrees","perl",2,16,541,239.359,47936,0,"%",0
"binarytrees","php",2,12,493,7.272,10340,0,"%",0
"binarytrees","php",2,14,493,35.99,24600,0,"%",0
"binarytrees","php",2,16,493,173.247,81648,0,"%",0
"binarytrees","pike",1,12,520,3.424,4352,0,"%",0
"binarytrees","pike",1,14,520,16.433,6576,0,"%",0
"binarytrees","pike",1,16,520,78.473,16568,0,"%",0
"binarytrees","pnet",1,12,610,1.092,5396,0,"%",0
"binarytrees","pnet",1,14,610,5.136,7016,0,"%",0
"binarytrees","pnet",1,16,610,22.329,15976,0,"%",0
"binarytrees","psyco",1,12,389,0.688,4044,0,"%",0
"binarytrees","psyco",1,14,389,3.192,6412,0,"%",0
"binarytrees","psyco",1,16,389,14.993,16692,0,"%",0
"binarytrees","psyco",3,12,431,0.748,4076,0,"%",0
"binarytrees","psyco",3,14,431,4.76,6444,0,"%",0
"binarytrees","psyco",3,16,431,39.45,16704,0,"%",0
"binarytrees","python",1,12,377,2.924,3296,0,"%",0
"binarytrees","python",1,14,377,14.193,5916,0,"%",0
"binarytrees","python",1,16,377,66.964,16172,0,"%",0
"binarytrees","python",3,12,418,3.24,3236,0,"%",0
"binarytrees","python",3,14,418,16.369,5852,0,"%",0
"binarytrees","python",3,16,418,93.41,16116,0,"%",0
"binarytrees","rebol",1,12,490,26.282,11332,0,"%",0
"binarytrees","rebol",1,14,490,179.723,24564,0,"%",0
"binarytrees","rebol",1,16,490,1763.026,78484,0,"%",0
"binarytrees","rhino",1,12,467,8.997,17368,0,"%",0
"binarytrees","rhino",1,14,467,41.223,30568,0,"%",0
"binarytrees","rhino",1,16,467,186.944,81940,0,"%",0
"binarytrees","ruby",2,12,409,7.784,3532,0,"%",0
"binarytrees","ruby",2,14,409,37.17,9284,0,"%",0
"binarytrees","ruby",2,16,409,172.307,48756,0,"%",0
"binarytrees","sbcl",2,12,553,0.432,21320,0,"%",0
"binarytrees","sbcl",2,14,553,0.948,28260,0,"%",0
"binarytrees","sbcl",2,16,553,3.72,36324,0,"%",0
"binarytrees","scala",1,12,529,1.056,20516,0,"%",0
"binarytrees","scala",1,14,529,1.78,23292,0,"%",0
"binarytrees","scala",1,16,529,5.916,58656,0,"%",0
"binarytrees","scala",4,12,536,0.932,20128,0,"%",0
"binarytrees","scala",4,14,536,1.376,21028,0,"%",0
"binarytrees","scala",4,16,536,4.796,54684,0,"%",0
"binarytrees","se",2,12,630,0.152,728,0,"%",0
"binarytrees","se",2,14,630,0.896,3192,0,"%",0
"binarytrees","se",2,16,630,4.112,11652,0,"%",0
"binarytrees","squeak",1,12,722,3.02,23392,0,"%",0
"binarytrees","squeak",1,14,722,10.993,27392,0,"%",0
"binarytrees","squeak",1,16,722,49.755,31384,0,"%",0
"binarytrees","stalin",1,12,497,0,0,-2,"%",0
"binarytrees","stalin",1,14,497,0,0,-2,"%",0
"binarytrees","stalin",1,16,497,0,0,-2,"%",0
"binarytrees","stx",1,12,731,0.436,18980,0,"%",0
"binarytrees","stx",1,14,731,1.612,19360,0,"%",0
"binarytrees","stx",1,16,731,15.477,88488,0,"%",0
"binarytrees","swiprolog",1,12,790,3.844,3276,0,"%",0
"binarytrees","swiprolog",1,14,790,31.106,5280,0,"%",0
"binarytrees","swiprolog",1,16,790,0,0,-2,"%",0
"binarytrees","tcl",1,12,540,7.54,3688,0,"%",0
"binarytrees","tcl",1,14,540,36.602,9068,0,"%",0
"binarytrees","tcl",1,16,540,176.067,30592,0,"%",0
"binarytrees","vw",1,12,722,0.384,13004,0,"%",0
"binarytrees","vw",1,14,722,1.428,19404,0,"%",0
"binarytrees","vw",1,16,722,8.113,26852,0,"%",0
