link,name

hello,
sumcol,
message,
nsieve,
nsievebits,
fannkuch,
pidigits,
fasta,
nbody,
mandelbrot,
knucleotide,
revcomp,
spectralnorm,
binarytrees,
chameneos,
regexdna,
recursive,
partialsums,
meteor,
messagering,

gnat,Ada 95 GNAT
gcc,C gcc
csharp,C# Mono
gpp,C++ g++
clean,Clean
bigforth,Forth Gforth
ghc,Haskell GHC
sbcl,Lisp SBCL
lua,Lua
ocaml,OCaml
fpascal,Pascal Free Pascal
perl,Perl
php,PHP
python,Python
ruby,Ruby
tcl,Tcl
javascript,JavaScript SpiderMonkey
hipe,Erlang Hipe
java,JDK 1.5 -server
dlang,D
mlton,
vw,
g95,
se,Eiffel
ooc,Oberon-2 OO2C
icon,
fbasic,
pike,
scala,
mzscheme,
oz,
nice,
swiprolog,
cal,
