link,name

ackermann,ackermann
wc,count-words
echo,echo
fibo,fibonacci
heapsort,heapsort
matrix,matrix
methcall,methods
objinst,objects
random,random
regexmatch,regex
reversefile,reverse-file
moments,statistics
spellcheck,spellcheck
hello,startup
sumcol,sum-file
wordfreq,word-frequency
process,
message,
takfp,
nsieve,
nsievebits,
fannkuch,
pidigits,
fasta,
nbody,
mandelbrot,
harmonic,
knucleotide,



gnat,Ada 95 GNAT
gcc,C gcc
icc,C Intel
gpp,C++ g++
icpp,C++ Intel
csharp,C# Mono
se,Eiffel SmartEiffel
hipe,Erlang HiPE
gforth,Forth Gforth
ifc,Fortran Intel
ghc,Haskell GHC
java,Java Blackdown
gcj,Java GCJ
cmucl,Lisp CMUCL
sbcl,Lisp SBCL
lua,Lua
smlnj,ML SML/NJ
oberon2,Oberon-2 OO2C
ocaml,OCaml
fpascal,Pascal Free Pascal
perl,Perl
php,PHP
python,Python
ruby,Ruby
bigloo,Scheme Bigloo
gst,Smalltalk GST
tcl,Tcl
