link,name

ackermann,
ary,
strcat,
wc,
lists,
echo,
except,
fibo,
hash,
hash2,
heapsort,
matrix,
methcall,
nestedloop,
objinst,
sieve,
random,
regexmatch,
reversefile,
moments,
prodcons,
spellcheck,
hello,
sumcol,
wordfreq,


gnat,Ada 95 GNAT
gawk,AWK gawk
gcc,C gcc
icc,C Intel
gpp,C++ g++
icpp,C++ Intel
clean,Clean
gwydion,Dylan Gwydion
se,Eiffel SmartEiffel
hipe,Erlang HiPE
gforth,Forth Gforth
ghc,Haskell GHC
icon,Icon
java,Java Blackdown
gcj,Java GCJ
cmucl,Lisp CMUCL
sbcl,Lisp SBCL
lua,Lua
mercury,Mercury
mlton,ML MLton
smlnj,ML SML/NJ
oz,Mozart/Oz
nice,Nice
oberon2,Oberon-2 OO2C
ocaml,OCaml
fpascal,Pascal Free Pascal
perl,Perl
php,PHP
pike,Pike
python,Python
ruby,Ruby
bigloo,Scheme Bigloo
chicken,Scheme Chicken
gst,Smalltalk GST
slang, S-Lang
tcl,Tcl
