link,name

ackermann,ackermann
ary,array
strcat,concatenate
wc,count-words
lists,deque
echo,echo
except,exception
fibo,fibonacci
hash2,hashtable-update
heapsort,heapsort
matrix,matrix
methcall,methods
nestedloop,nested-loop
objinst,objects
sieve,primes
random,random
regexmatch,regex
reversefile,reverse-file
moments,statistics
prodcons,synchronize-threads
spellcheck,spellcheck
hello,startup
sumcol,sum-file
wordfreq,word-frequency
plugin,plugin
procinst,procinst
ringmsg,ringmsg
process,
message,
takfp,
nsieve,
fannkuch,
pidigits,
josephus,
fasta,



gnat,Ada 95 GNAT
gawk,AWK gawk
mawk,AWK mawk
bash,Bash
gcc,C gcc
csharp,C# Mono
gpp,C++ g++
clean,Clean
curry,Curry
gwydion,Dylan Gwydion
se,Eiffel SmartEiffel
elastic,elastiC
hipe,Erlang HiPE
erlang,Erlang
felix,Felix
gforth,Forth Gforth
ghc,Haskell GHC
hugs,Haskell hugs
nhc98,Haskell NHC98
icon,Icon
java,Java Blackdown
gcj,Java GCJ
gij,Java GIJ
kaffe,Java Kaffe
sablevm,Java SableVM
cmucl,Lisp CMUCL
rep,Lisp librep
sbcl,Lisp SBCL
xemacs,Lisp XEmacs
lua,Lua
mercury,Mercury
mlton,ML MLton
poly,ML Poly/ML
smlnj,ML SML/NJ
oz,Mozart/Oz
newlisp,newLISP
nice,Nice
oberon2,Oberon-2 OO2C
objc,Objective-C GNU
ocamlb,OCaml bytecode
ocaml,OCaml
fpascal,Pascal Free Pascal
perl,Perl
php,PHP
pike,Pike
pop11,Poplog Pop11
ciao,Prolog Ciao
gprolog,Prolog GNU
psyco,Python psyco
python,Python
ruby,Ruby
bigloo,Scheme Bigloo
chicken,Scheme Chicken
guile,Scheme Guile
mzc,Scheme MzC
mzscheme,Scheme MzScheme
stalin,Scheme Stalin
slang,S-Lang
gst,Smalltalk GST
tcl,Tcl
