name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,java,2,20,603,27.706,255528,0,0% 0% 0% 100%,27.837
binarytrees,ruby,1,20,412,1069.743,457796,0,0% 0% 0% 100%,1069.679
binarytrees,pypy,2,20,365,851.825,691332,0,0% 0% 0% 100%,851.780
binarytrees,fpascal,1,20,769,31.166,65616,0,0% 0% 0% 100%,31.167
binarytrees,javascript,1,20,467,1800.277,638908,0,0% 0% 0% 100%,1800.165
binarytrees,javaxint,2,20,603,127.004,244692,0,0% 0% 0% 100%,127.318
binarytrees,yap,1,20,719,155.586,183524,0,0% 0% 0% 100%,155.578
binarytrees,javaxint,1,20,919,145.641,243608,0,0% 0% 0% 100%,146.018
binarytrees,cal,1,20,736,47.111,269092,0,0% 0% 0% 99%,47.518
binarytrees,perl,1,20,481,1732.540,495544,0,0% 0% 0% 100%,1732.473
binarytrees,perl,2,20,541,1340.004,643500,0,0% 0% 0% 100%,1339.960
binarytrees,lua,3,20,470,389.996,551232,0,0% 0% 0% 100%,389.974
binarytrees,ocaml,2,20,784,44.655,78840,0,0% 0% 0% 100%,44.647
binarytrees,pypy,1,20,423,746.883,731440,0,0% 0% 0% 100%,746.970
binarytrees,ghc,3,20,544,34.762,193596,0,0% 0% 0% 100%,34.763
binarytrees,ghc,2,20,544,34.710,193596,0,0% 0% 0% 100%,34.711
binarytrees,csharp,2,20,650,79.957,235308,0,0% 0% 0% 100%,79.967
binarytrees,yarv,1,20,412,244.327,196792,0,1% 1% 0% 100%,244.314
binarytrees,nice,1,20,485,28.214,254880,0,0% 0% 0% 100%,28.293
binarytrees,lisaac,2,20,691,0.000,1981960,-2,8% 1% 1% 100%,4.568
binarytrees,hipe,1,20,441,40.451,187868,0,0% 100% 1% 1%,40.351
binarytrees,sbcl,3,20,1448,14.773,61356,0,0% 0% 0% 100%,14.829
binarytrees,gpp,2,20,553,41.015,99348,0,0% 0% 0% 100%,41.018
binarytrees,vw,1,20,722,146.173,121992,0,0% 0% 0% 100%,146.166
binarytrees,mzscheme,2,20,503,76.361,264096,0,0% 0% 0% 100%,76.361
binarytrees,ghc,1,20,512,33.830,169008,0,0% 1% 0% 100%,33.832
binarytrees,gcc,4,20,672,62.964,147716,0,4% 0% 0% 100%,62.961
binarytrees,fsharp,1,20,587,173.243,237216,0,1% 0% 0% 100%,173.223
binarytrees,nice,2,20,759,38.866,297532,0,0% 0% 0% 99%,39.026
binarytrees,jruby,1,20,412,342.177,1264228,0,0% 0% 0% 100%,342.770
binarytrees,java,1,20,919,38.510,297844,0,20% 26% 5% 99%,38.712
