name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,hipe,1,12,441,0.152,0,0,6% 94% 0% 6%,0.159
binarytrees,hipe,1,16,441,1.652,34352,0,1% 2% 98% 1%,1.646
binarytrees,hipe,1,20,441,43.727,373264,0,1% 100% 0% 0%,43.625
binarytrees,ats,1,12,1025,0.056,0,0,0% 0% 0% 100%,0.056
binarytrees,ats,1,16,1025,0.808,13028,0,0% 0% 2% 100%,0.803
binarytrees,ats,1,20,1025,17.397,198628,0,0% 0% 0% 100%,17.401
binarytrees,java,1,12,919,0.196,0,0,11% 20% 21% 85%,0.173
binarytrees,java,1,16,919,2.084,269356,0,60% 55% 66% 60%,0.847
binarytrees,java,1,20,919,53.767,684068,0,68% 78% 74% 77%,17.993
binarytrees,clean,3,12,539,0.064,0,0,0% 0% 0% 100%,0.067
binarytrees,clean,3,16,539,1.260,189452,0,0% 1% 0% 100%,1.261
binarytrees,clean,3,20,539,44.711,262708,0,0% 0% 0% 100%,44.718
binarytrees,gcc,5,12,963,0.152,0,0,50% 33% 71% 67%,0.056
binarytrees,gcc,5,16,963,2.984,19128,0,87% 86% 88% 92%,0.845
binarytrees,gcc,5,20,963,68.940,530776,0,89% 93% 95% 95%,18.437
binarytrees,fsharp,1,12,587,0.424,9176,0,0% 0% 4% 100%,0.434
binarytrees,fsharp,1,16,587,8.269,35940,0,0% 0% 0% 100%,8.284
binarytrees,fsharp,1,20,587,177.211,390076,0,0% 0% 0% 100%,177.233
binarytrees,perl,1,12,481,2.452,5232,0,0% 1% 1% 100%,2.452
binarytrees,perl,1,16,481,66.616,53616,0,2% 0% 1% 100%,66.614
binarytrees,perl,1,20,481,1625.610,827680,0,0% 0% 0% 100%,1625.637
binarytrees,sbcl,2,12,553,0.124,0,0,0% 0% 0% 100%,0.124
binarytrees,sbcl,2,16,553,2.136,63636,0,0% 0% 0% 100%,2.137
binarytrees,sbcl,2,20,553,67.072,555008,0,0% 0% 0% 100%,67.068
binarytrees,ats,2,12,1903,0.004,0,0,0% 0% 0% 100%,0.060
binarytrees,ats,2,16,1903,0.784,21384,0,0% 6% 20% 100%,0.818
binarytrees,ats,2,20,1903,17.377,329548,0,0% 0% 0% 100%,17.395
binarytrees,hipe,2,12,499,0.232,596,0,7% 63% 6% 19%,0.304
binarytrees,hipe,2,16,499,1.924,44604,0,1% 99% 1% 0%,1.930
binarytrees,hipe,2,20,499,62.468,355520,0,0% 100% 0% 0%,62.483
binarytrees,gcc,4,12,672,0.148,0,0,0% 0% 84% 50%,0.169
binarytrees,gcc,4,16,672,2.856,21644,0,0% 100% 0% 0%,2.856
binarytrees,gcc,4,20,672,61.748,298404,0,0% 100% 0% 0%,61.748
binarytrees,javaxint,2,12,603,0.364,27792,0,0% 0% 0% 88%,0.417
binarytrees,javaxint,2,16,603,6.360,272064,0,0% 0% 0% 100%,6.413
binarytrees,javaxint,2,20,603,129.128,537520,0,0% 0% 0% 100%,129.330
binarytrees,cal,1,12,736,0.220,32156,0,0% 0% 0% 96%,0.252
binarytrees,cal,1,16,736,1.112,77380,0,0% 0% 2% 99%,1.117
binarytrees,cal,1,20,736,51.315,361916,0,0% 0% 0% 100%,51.445
binarytrees,csharp,2,12,650,0.192,0,0,0% 0% 0% 100%,0.193
binarytrees,csharp,2,16,650,4.052,34744,0,0% 0% 0% 100%,4.056
binarytrees,csharp,2,20,650,88.370,464192,0,0% 0% 0% 100%,88.365
binarytrees,tracemonkey,1,12,467,1.164,146820,0,0% 0% 1% 100%,1.164
binarytrees,tracemonkey,1,16,467,25.394,146848,0,0% 0% 0% 100%,25.394
binarytrees,tracemonkey,1,20,467,0.000,146792,-2,1% 0% 0% 100%,0.880
binarytrees,javascript,1,12,467,2.984,187712,0,0% 0% 0% 100%,3.046
binarytrees,javascript,1,16,467,67.636,244108,0,0% 0% 0% 100%,67.630
binarytrees,javascript,1,20,467,0.000,855668,-2,0% 0% 0% 100%,9.424
binarytrees,ruby,1,12,412,1.652,5836,0,0% 1% 0% 99%,1.653
binarytrees,ruby,1,16,412,38.058,54052,0,0% 0% 0% 100%,38.056
binarytrees,ruby,1,20,412,1259.731,781212,0,0% 0% 0% 100%,1259.659
binarytrees,php,2,12,493,2.220,13248,0,45% 22% 16% 100%,2.414
binarytrees,php,2,16,493,59.636,148548,0,39% 21% 17% 100%,59.632
binarytrees,php,2,20,493,1325.719,2311976,0,1% 0% 0% 100%,1325.639
binarytrees,ocaml,2,12,784,0.060,0,0,0% 0% 0% 60%,0.058
binarytrees,ocaml,2,16,784,2.236,55908,0,0% 0% 0% 100%,2.237
binarytrees,ocaml,2,20,784,52.663,157656,0,0% 0% 0% 100%,52.662
binarytrees,mzscheme,2,12,503,0.248,5576,0,0% 0% 4% 100%,0.250
binarytrees,mzscheme,2,16,503,3.416,57200,0,0% 0% 0% 100%,3.420
binarytrees,mzscheme,2,20,503,81.789,323380,0,0% 0% 0% 100%,81.793
binarytrees,gpp,5,12,606,0.028,0,0,0% 100% 0% 0%,0.030
