binarytrees,v8,1,12,467,0.120,0,0,0% 0% 6% 86%,0.137
binarytrees,v8,1,16,467,1.790,56252,0,5% 14% 2% 100%,1.797
binarytrees,v8,1,20,467,93.680,393884,0,0% 0% 0% 100%,93.683
fannkuch,v8,2,10,488,4.460,8200,0,0% 0% 0% 100%,4.464
fannkuch,v8,2,11,488,53.070,10272,0,0% 0% 0% 100%,53.071
fannkuch,v8,2,12,488,679.880,10304,0,0% 0% 0% 100%,679.885
fannkuchredux,v8,2,10,473,0.000,0,-2,0% 0% 0% 100%,0.055
fannkuchredux,v8,2,11,473,0.000,0,-2,0% 0% 0% 100%,0.055
fannkuchredux,v8,2,12,473,0.000,0,-2,0% 0% 0% 100%,0.055
fannkuchredux,v8,1,10,463,1.670,6248,0,1% 0% 0% 100%,1.674
fannkuchredux,v8,1,11,463,20.960,6272,0,0% 0% 0% 100%,20.964
fannkuchredux,v8,1,12,463,296.400,6252,0,0% 0% 0% 100%,296.407
fasta,v8,1,250000,791,0.510,8216,0,2% 2% 2% 100%,0.498
fasta,v8,1,2500000,791,4.590,8196,0,0% 0% 1% 100%,4.591
fasta,v8,1,25000000,791,43.680,10268,0,0% 0% 0% 100%,43.674
fasta,v8,2,250000,923,0.390,732,0,3% 0% 0% 100%,0.391
fasta,v8,2,2500000,923,2.900,19268,0,1% 0% 0% 100%,2.901
fasta,v8,2,25000000,923,27.320,31912,0,0% 0% 0% 100%,27.318
knucleotide,v8,3,250000,390,2.990,44300,0,1% 0% 0% 100%,2.999
knucleotide,v8,3,2500000,390,26.320,84896,0,0% 0% 0% 100%,26.355
knucleotide,v8,3,25000000,390,275.800,431008,0,0% 0% 0% 100%,276.360
knucleotide,v8,1,250000,423,3.030,42272,0,0% 0% 0% 100%,3.027
knucleotide,v8,1,2500000,423,25.610,84908,0,0% 0% 0% 100%,25.603
knucleotide,v8,1,25000000,423,273.840,434080,0,0% 0% 0% 100%,273.837
mandelbrot,v8,1,1000,387,0.000,0,-2,0% 0% 0% 100%,0.055
mandelbrot,v8,1,4000,387,0.000,0,-2,0% 0% 0% 100%,0.055
mandelbrot,v8,1,16000,387,0.000,0,-2,0% 0% 0% 100%,0.055
nbody,v8,1,500000,1287,1.780,10268,0,1% 0% 1% 100%,1.787
nbody,v8,1,5000000,1287,17.310,14360,0,0% 0% 0% 100%,17.305
nbody,v8,1,50000000,1287,172.600,22552,0,0% 0% 0% 100%,172.593
pidigits,v8,1,2000,609,6.970,39000,0,1% 0% 0% 100%,6.970
pidigits,v8,1,6000,609,78.200,38988,0,0% 0% 0% 100%,78.203
pidigits,v8,1,10000,609,254.210,40904,0,0% 0% 0% 100%,254.209
regexdna,v8,1,50000,365,0.000,0,-10,0% 0% 0% 100%,0.089
regexdna,v8,1,500000,365,0.000,0,-10,0% 0% 0% 100%,0.089
regexdna,v8,1,5000000,365,0.000,0,-10,0% 0% 0% 100%,0.089
regexdna,v8,2,50000,373,0.100,0,0,0% 0% 8% 100%,0.114
regexdna,v8,2,500000,373,0.530,32624,0,2% 0% 2% 100%,0.544
regexdna,v8,2,5000000,373,4.820,354752,0,0% 0% 0% 100%,4.820
revcomp,v8,2,250000,456,0.300,732,0,3% 0% 0% 97%,0.326
revcomp,v8,2,2500000,456,2.420,67216,0,1% 0% 0% 100%,2.481
revcomp,v8,2,25000000,456,22.840,401660,0,0% 0% 0% 100%,22.845
spectralnorm,v8,1,500,311,0.670,10416,0,1% 0% 0% 100%,0.665
spectralnorm,v8,1,3000,311,22.300,15948,0,0% 0% 0% 100%,22.309
spectralnorm,v8,1,5500,311,75.450,25056,0,0% 0% 0% 100%,75.448
