name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,scala,4,20,494,13.660,493604,0,15% 9% 92% 10%,10.698
binarytrees,scala,2,20,641,30.660,605372,0,69% 58% 70% 68%,11.540
binarytrees,javasteady,2,20,675,17.035,949204,0,93% 8% 7% 6%,14.904
binarytrees,hipe,2,20,499,76.150,413808,0,91% 56% 64% 61%,27.780
binarytrees,go,3,20,872,18.940,214876,0,53% 85% 52% 62%,7.547
binarytrees,sbcl,1,20,612,42.380,405088,0,0% 0% 0% 100%,42.423
binarytrees,clojure,3,20,640,75.530,572392,0,11% 13% 94% 10%,58.920
binarytrees,fpascal,1,20,769,44.860,131420,0,0% 0% 0% 100%,44.870
binarytrees,ghc,1,20,512,123.000,308004,0,46% 81% 58% 54%,43.363
binarytrees,gcc,1,20,706,35.110,131544,0,0% 0% 0% 100%,35.130
binarytrees,fsharp,2,20,685,158.940,253756,0,66% 24% 35% 47%,91.465
binarytrees,clojure,4,20,641,166.480,791020,0,77% 77% 79% 79%,52.766
binarytrees,ats,3,20,2143,18.250,328216,0,90% 61% 82% 63%,6.229
binarytrees,javaxint,1,20,1007,385.440,395588,0,27% 36% 63% 75%,191.306
binarytrees,gpp,2,20,553,35.470,197744,0,0% 4% 3% 100%,35.487
binarytrees,gcc,7,20,850,14.430,150960,0,51% 44% 66% 74%,5.703
binarytrees,ifc,1,20,826,44.640,131544,0,0% 0% 100% 0%,44.642
binarytrees,ats,1,20,926,16.500,198308,0,0% 0% 100% 0%,16.512
binarytrees,clojure,1,20,557,131.570,590548,0,17% 12% 78% 15%,107.998
binarytrees,ocaml,1,20,563,14.810,472632,0,0% 0% 0% 100%,14.823
binarytrees,ghc,4,20,604,394.870,752132,0,88% 92% 91% 90%,102.566
binarytrees,python3,7,20,561,470.240,933964,0,94% 91% 95% 92%,125.966
binarytrees,ocaml,2,20,784,88.780,157552,0,95% 91% 76% 91%,25.244
binarytrees,clojure,5,20,689,38.680,531888,0,40% 15% 18% 68%,28.089
binarytrees,sbcl,2,20,649,36.620,402660,0,100% 0% 0% 0%,36.663
binarytrees,java,2,20,603,13.140,489088,0,11% 23% 78% 12%,10.513
binarytrees,scala,1,20,549,11.770,351236,0,13% 16% 84% 14%,9.160
binarytrees,yarv,1,20,412,247.610,426872,0,0% 0% 100% 0%,247.609
binarytrees,fsharp,3,20,756,78.860,235544,0,40% 19% 78% 20%,49.503
binarytrees,python3,6,20,626,527.640,1464752,0,93% 92% 96% 93%,140.710
binarytrees,javaxint,2,20,603,120.380,302088,0,6% 34% 56% 7%,116.921
binarytrees,hipe,1,20,441,38.530,490916,0,95% 0% 7% 4%,38.528
binarytrees,gcc,9,20,1103,9.490,228984,0,82% 67% 99% 89%,2.828
binarytrees,go,1,20,516,123.470,320824,0,0% 0% 100% 0%,123.556
binarytrees,clojure,2,20,587,212.470,786812,0,75% 79% 79% 81%,66.802
binarytrees,go,2,20,695,23.570,222936,0,0% 0% 100% 0%,23.583
binarytrees,csharp,2,20,650,60.220,611372,0,0% 10% 88% 0%,60.215
